driver_id,driver_age,driver_city,vehicle_type,driver_experience_years,total_assigned_rides,accepted_rides,incomplete_rides,delay_count,acceptance_rate,delay_rate,avg_driver_rating,avg_pickup_delay_min,driver_delay_flag
D_000113,47,Hyderabad,Auto,13,17,12,0,0,0.71,0.0,4.1,1.0,0
D_000114,29,Chennai,Auto,2,16,13,2,1,0.81,0.06,4.6,3.9,0
D_000115,54,Bangalore,Auto,4,18,14,0,0,0.78,0.0,4.8,4.0,0
D_000116,50,Mumbai,Cab,6,21,17,0,0,0.81,0.0,5.0,2.0,0
D_000117,26,Delhi,Cab,6,21,16,2,1,0.76,0.05,4.4,4.8,0
D_000118,49,Delhi,Bike,1,15,10,2,2,0.67,0.13,4.5,4.0,1
D_000119,38,Bangalore,Cab,8,24,18,2,1,0.75,0.04,4.0,3.6,0
D_000120,44,Delhi,Bike,2,15,15,1,0,1.0,0.0,4.7,4.0,0
D_000121,30,Delhi,Auto,13,25,20,2,1,0.8,0.04,4.5,4.6,0
D_000122,23,Delhi,Cab,5,18,18,1,1,1.0,0.06,4.1,2.9,0
D_000123,53,Hyderabad,Cab,4,23,19,2,1,0.83,0.04,4.9,2.6,0
D_000124,52,Mumbai,Cab,5,13,9,0,0,0.69,0.0,4.5,1.0,0
D_000125,28,Bangalore,Cab,5,23,17,1,1,0.74,0.04,4.1,1.6,0
D_000126,51,Mumbai,Bike,10,17,12,3,2,0.71,0.12,4.7,5.8,1
D_000127,24,Delhi,Bike,8,19,17,2,2,0.89,0.11,4.2,4.6,1
D_000128,30,Mumbai,Cab,10,22,17,2,2,0.77,0.09,4.8,3.4,0
D_000129,31,Chennai,Bike,7,18,15,0,0,0.83,0.0,4.2,2.0,0
D_000130,47,Chennai,Cab,12,25,19,2,1,0.76,0.04,4.8,4.6,0
D_000131,22,Chennai,Cab,14,18,12,1,0,0.67,0.0,4.2,2.0,0
D_000132,51,Bangalore,Bike,9,25,18,2,0,0.72,0.0,4.0,4.0,0
D_000133,36,Hyderabad,Bike,12,19,13,1,0,0.68,0.0,4.0,1.0,0
D_000134,46,Chennai,Cab,11,25,14,0,0,0.56,0.0,4.4,1.0,0
D_000135,27,Hyderabad,Bike,13,17,11,2,0,0.65,0.0,4.9,1.0,0
D_000136,39,Bangalore,Bike,1,19,15,0,0,0.79,0.0,4.8,1.0,0
D_000137,22,Bangalore,Bike,6,25,19,2,2,0.76,0.08,4.2,5.2,0
D_000138,24,Bangalore,Auto,6,14,13,2,0,0.93,0.0,4.7,1.0,0
D_000139,38,Mumbai,Bike,2,20,17,3,2,0.85,0.1,4.1,4.5,0
D_000140,29,Delhi,Bike,11,21,18,1,1,0.86,0.05,5.0,1.8,0
D_000141,38,Hyderabad,Auto,8,22,14,1,0,0.64,0.0,4.4,3.0,0
D_000142,46,Hyderabad,Cab,6,29,21,3,2,0.72,0.07,4.4,2.0,0
D_000143,33,Hyderabad,Cab,11,22,20,1,1,0.91,0.05,4.2,3.8,0
D_000144,50,Hyderabad,Auto,13,17,15,3,3,0.88,0.18,4.4,3.7,1
D_000145,46,Mumbai,Auto,10,30,18,2,1,0.6,0.03,5.0,3.4,0
D_000146,46,Hyderabad,Cab,9,10,7,1,0,0.7,0.0,4.9,3.0,0
D_000147,50,Hyderabad,Cab,10,11,10,2,0,0.91,0.0,4.7,3.0,0
D_000148,32,Mumbai,Auto,5,18,14,2,1,0.78,0.06,4.6,3.9,0
D_000149,25,Mumbai,Cab,7,26,19,1,1,0.73,0.04,4.9,4.6,0
D_000150,35,Mumbai,Auto,6,21,17,2,0,0.81,0.0,4.0,1.0,0
D_000151,38,Mumbai,Auto,11,12,12,1,1,1.0,0.08,4.8,2.2,0
D_000152,23,Hyderabad,Auto,5,20,16,5,4,0.8,0.2,4.4,4.0,1
D_000153,29,Hyderabad,Cab,6,16,12,1,1,0.75,0.06,4.6,2.9,0
D_000154,31,Bangalore,Auto,4,22,15,3,2,0.68,0.09,4.0,5.4,0
D_000155,28,Mumbai,Cab,3,28,24,4,1,0.86,0.04,4.9,1.6,0
D_000156,37,Chennai,Bike,13,23,16,2,0,0.7,0.0,4.3,2.0,0
D_000157,35,Bangalore,Cab,1,25,19,1,0,0.76,0.0,4.8,1.0,0
D_000158,37,Mumbai,Auto,1,25,18,2,2,0.72,0.08,4.1,3.2,0
D_000159,46,Mumbai,Auto,6,18,13,1,1,0.72,0.06,4.9,3.9,0
D_000160,25,Delhi,Auto,14,23,18,1,1,0.78,0.04,4.1,4.6,0
D_000161,50,Mumbai,Cab,9,14,12,2,0,0.86,0.0,4.8,3.0,0
D_000162,27,Bangalore,Bike,8,24,20,6,1,0.83,0.04,4.9,4.6,0
D_000163,22,Mumbai,Auto,12,18,12,2,2,0.67,0.11,4.2,4.6,1
D_000164,22,Bangalore,Auto,2,21,13,1,0,0.62,0.0,4.5,4.0,0
D_000165,24,Hyderabad,Cab,9,17,14,1,1,0.82,0.06,4.4,2.9,0
D_000166,22,Chennai,Auto,8,23,15,0,0,0.65,0.0,4.3,1.0,0
D_000167,22,Delhi,Cab,14,27,20,4,2,0.74,0.07,4.2,4.0,0
D_000168,42,Bangalore,Auto,14,18,15,3,1,0.83,0.06,4.4,3.9,0
D_000169,51,Hyderabad,Cab,12,21,18,2,2,0.86,0.1,4.1,4.5,0
D_000170,53,Mumbai,Auto,9,21,18,4,1,0.86,0.05,5.0,3.8,0
D_000171,54,Bangalore,Auto,4,16,9,2,2,0.56,0.12,4.2,2.8,1
D_000172,43,Delhi,Bike,9,22,19,2,2,0.86,0.09,4.0,4.4,0
D_000173,51,Chennai,Bike,2,14,12,0,0,0.86,0.0,4.3,2.0,0
D_000174,25,Delhi,Bike,13,17,15,2,2,0.88,0.12,4.4,5.8,1
D_000175,44,Hyderabad,Auto,1,24,18,1,1,0.75,0.04,4.5,4.6,0
D_000176,46,Chennai,Cab,13,19,15,3,2,0.79,0.11,4.7,3.6,1
D_000177,33,Chennai,Bike,9,12,11,1,0,0.92,0.0,4.5,1.0,0
D_000178,38,Delhi,Bike,10,14,10,1,1,0.71,0.07,4.2,4.0,0
D_000179,36,Hyderabad,Auto,8,19,15,1,1,0.79,0.05,4.6,2.8,0
D_000180,31,Delhi,Auto,7,18,14,1,0,0.78,0.0,4.4,3.0,0
D_000181,50,Bangalore,Auto,14,17,12,0,0,0.71,0.0,4.4,4.0,0
D_000182,33,Bangalore,Cab,13,19,14,2,1,0.74,0.05,4.3,2.8,0
D_000183,22,Mumbai,Cab,8,18,14,1,1,0.78,0.06,4.7,4.9,0
D_000184,22,Delhi,Auto,12,19,14,2,1,0.74,0.05,4.5,4.8,0
D_000185,31,Bangalore,Cab,1,18,14,1,1,0.78,0.06,4.6,1.9,0
D_000186,39,Hyderabad,Cab,14,23,15,0,0,0.65,0.0,4.5,1.0,0
D_000187,23,Mumbai,Bike,9,18,14,1,1,0.78,0.06,4.4,4.9,0
D_000188,29,Delhi,Cab,12,14,12,2,1,0.86,0.07,4.4,5.0,0
D_000189,43,Bangalore,Cab,10,16,14,2,0,0.88,0.0,4.8,1.0,0
D_000190,43,Mumbai,Cab,11,17,14,2,1,0.82,0.06,4.5,1.9,0
D_000191,47,Mumbai,Auto,9,22,14,0,0,0.64,0.0,4.7,1.0,0
D_000192,47,Delhi,Auto,12,24,19,3,2,0.79,0.08,4.0,4.2,0
D_000193,30,Chennai,Cab,11,20,15,1,1,0.75,0.05,4.3,2.8,0
D_000194,42,Hyderabad,Cab,9,22,21,2,0,0.95,0.0,4.7,3.0,0
D_000195,52,Mumbai,Auto,13,16,13,3,1,0.81,0.06,4.3,3.9,0
D_000196,27,Mumbai,Auto,14,19,16,3,0,0.84,0.0,4.7,3.0,0
D_000197,35,Mumbai,Bike,6,10,6,1,1,0.6,0.1,4.1,2.5,0
D_000198,54,Hyderabad,Cab,4,21,16,2,2,0.76,0.1,4.1,3.5,0
D_000199,28,Delhi,Bike,13,20,13,0,0,0.65,0.0,4.8,3.0,0
D_000200,45,Chennai,Cab,2,19,16,3,2,0.84,0.11,4.1,5.6,1
D_000201,30,Bangalore,Cab,11,19,15,2,0,0.79,0.0,4.6,2.0,0
D_000202,32,Mumbai,Auto,4,18,15,2,2,0.83,0.11,4.3,2.6,1
D_000203,44,Hyderabad,Cab,7,19,16,2,1,0.84,0.05,4.0,4.8,0
D_000204,23,Bangalore,Auto,1,12,10,2,2,0.83,0.17,4.0,4.6,1
D_000205,36,Bangalore,Cab,14,15,11,0,0,0.73,0.0,4.6,1.0,0
D_000206,49,Hyderabad,Bike,9,29,22,2,2,0.76,0.07,4.3,3.0,0
D_000207,25,Mumbai,Auto,3,24,16,3,2,0.67,0.08,4.6,2.2,0
D_000208,31,Hyderabad,Auto,13,23,20,3,0,0.87,0.0,5.0,4.0,0
D_000209,27,Chennai,Auto,13,16,14,3,1,0.88,0.06,4.8,3.9,0
D_000210,51,Delhi,Bike,4,24,19,1,0,0.79,0.0,4.3,1.0,0
D_000211,31,Mumbai,Cab,12,15,13,1,0,0.87,0.0,4.1,3.0,0
D_000212,53,Delhi,Cab,5,18,12,1,1,0.67,0.06,4.4,3.9,0
D_000213,24,Mumbai,Bike,12,20,13,1,0,0.65,0.0,4.3,3.0,0
D_000214,47,Bangalore,Cab,13,27,19,1,0,0.7,0.0,4.1,3.0,0
D_000215,36,Delhi,Cab,3,16,13,2,2,0.81,0.12,4.6,5.8,1
D_000216,38,Chennai,Auto,4,18,12,4,2,0.67,0.11,4.2,2.6,1
D_000217,48,Mumbai,Auto,5,17,10,2,2,0.59,0.12,4.9,2.8,1
D_000218,39,Delhi,Auto,12,26,22,1,1,0.85,0.04,4.8,2.6,0
D_000219,40,Delhi,Auto,1,25,20,1,1,0.8,0.04,4.1,4.6,0
D_000220,33,Chennai,Bike,14,24,23,3,3,0.96,0.12,4.5,4.8,1
D_000221,45,Mumbai,Auto,9,22,13,3,2,0.59,0.09,4.7,5.4,0
D_000222,26,Chennai,Cab,10,16,11,2,1,0.69,0.06,4.1,3.9,0
D_000223,45,Hyderabad,Auto,13,22,16,3,2,0.73,0.09,4.5,5.4,0
D_000224,48,Bangalore,Auto,10,15,14,0,0,0.93,0.0,4.8,4.0,0
D_000225,51,Chennai,Auto,13,18,14,0,0,0.78,0.0,4.0,2.0,0
D_000226,36,Hyderabad,Bike,14,16,12,2,2,0.75,0.12,4.6,5.8,1
D_000227,48,Chennai,Auto,4,20,17,3,2,0.85,0.1,4.2,3.5,0
D_000228,41,Chennai,Cab,13,20,14,1,0,0.7,0.0,4.4,1.0,0
D_000229,53,Mumbai,Auto,9,20,16,2,2,0.8,0.1,4.1,2.5,0
D_000230,25,Chennai,Auto,4,18,18,3,2,1.0,0.11,4.3,4.6,1
D_000231,26,Chennai,Bike,14,15,11,1,0,0.73,0.0,4.7,1.0,0
D_000232,29,Delhi,Cab,1,21,19,3,2,0.9,0.1,4.8,2.5,0
D_000233,43,Chennai,Auto,12,18,15,1,0,0.83,0.0,4.0,2.0,0
D_000234,28,Bangalore,Auto,5,10,7,1,1,0.7,0.1,4.5,4.5,0
D_000235,43,Delhi,Cab,13,20,19,2,0,0.95,0.0,4.1,4.0,0
D_000236,51,Chennai,Cab,9,31,22,2,1,0.71,0.03,4.2,3.4,0
D_000237,37,Chennai,Auto,3,19,10,0,0,0.53,0.0,4.9,3.0,0
D_000238,36,Mumbai,Bike,5,7,5,0,0,0.71,0.0,4.5,2.0,0
D_000239,26,Bangalore,Cab,3,22,19,1,1,0.86,0.05,4.4,1.8,0
D_000240,24,Chennai,Bike,12,11,8,0,0,0.73,0.0,4.8,3.0,0
D_000241,44,Chennai,Bike,3,19,14,1,0,0.74,0.0,4.5,1.0,0
D_000242,31,Delhi,Cab,1,16,13,3,1,0.81,0.06,4.6,2.9,0
D_000243,26,Delhi,Bike,2,15,14,1,0,0.93,0.0,4.3,4.0,0
D_000244,44,Bangalore,Auto,2,28,24,2,1,0.86,0.04,4.1,2.6,0
D_000245,36,Delhi,Cab,9,28,22,3,2,0.79,0.07,4.2,2.0,0
D_000246,39,Chennai,Cab,7,21,16,2,2,0.76,0.1,4.5,4.5,0
D_000247,46,Hyderabad,Bike,8,19,11,0,0,0.58,0.0,4.9,1.0,0
D_000248,29,Hyderabad,Bike,2,21,12,2,1,0.57,0.05,4.0,1.8,0
D_000249,52,Mumbai,Bike,9,13,6,0,0,0.46,0.0,4.5,4.0,0
D_000250,42,Mumbai,Auto,13,19,18,2,2,0.95,0.11,4.5,4.6,1
D_000251,23,Delhi,Bike,3,18,15,1,1,0.83,0.06,4.9,1.9,0
D_000252,43,Hyderabad,Bike,10,20,14,1,1,0.7,0.05,4.3,2.8,0
D_000253,29,Hyderabad,Bike,13,17,10,1,1,0.59,0.06,4.1,3.9,0
D_000254,44,Hyderabad,Cab,2,13,8,0,0,0.62,0.0,4.1,2.0,0
D_000255,53,Hyderabad,Auto,12,26,22,1,1,0.85,0.04,4.5,4.6,0
D_000256,29,Chennai,Cab,1,25,22,2,2,0.88,0.08,4.1,3.2,0
D_000257,25,Delhi,Auto,9,17,12,0,0,0.71,0.0,5.0,1.0,0
D_000258,51,Mumbai,Cab,8,19,14,0,0,0.74,0.0,4.5,2.0,0
D_000259,40,Bangalore,Cab,13,14,11,0,0,0.79,0.0,4.1,2.0,0
D_000260,44,Hyderabad,Bike,12,23,16,1,0,0.7,0.0,4.6,1.0,0
D_000261,39,Bangalore,Bike,11,27,20,1,1,0.74,0.04,4.1,2.6,0
D_000262,50,Hyderabad,Auto,4,19,13,2,1,0.68,0.05,5.0,1.8,0
D_000263,44,Chennai,Bike,7,22,16,2,1,0.73,0.05,4.1,3.8,0
D_000264,54,Chennai,Bike,12,18,9,3,2,0.5,0.11,4.4,4.6,1
D_000265,39,Chennai,Cab,14,17,11,1,0,0.65,0.0,5.0,3.0,0
D_000266,54,Bangalore,Auto,3,23,15,2,0,0.65,0.0,4.8,1.0,0
D_000267,28,Bangalore,Cab,3,21,14,2,1,0.67,0.05,4.1,3.8,0
D_000268,49,Delhi,Cab,4,23,20,1,1,0.87,0.04,4.4,1.6,0
D_000269,22,Chennai,Bike,2,18,16,1,1,0.89,0.06,4.5,3.9,0
D_000270,40,Delhi,Auto,14,23,17,1,0,0.74,0.0,4.0,4.0,0
D_000271,52,Chennai,Cab,10,19,18,1,0,0.95,0.0,4.1,4.0,0
D_000272,34,Delhi,Cab,4,30,22,0,0,0.73,0.0,4.5,1.0,0
D_000273,45,Hyderabad,Bike,10,33,25,2,0,0.76,0.0,4.5,1.0,0
D_000274,26,Delhi,Auto,3,22,18,3,2,0.82,0.09,4.7,4.4,0
D_000275,44,Bangalore,Auto,8,27,20,0,0,0.74,0.0,4.0,1.0,0
D_000276,40,Bangalore,Auto,11,17,14,1,0,0.82,0.0,4.3,2.0,0
D_000277,22,Bangalore,Cab,2,24,16,1,1,0.67,0.04,4.6,4.6,0
D_000278,54,Hyderabad,Bike,11,19,13,2,1,0.68,0.05,4.4,2.8,0
D_000279,54,Mumbai,Cab,9,18,14,2,2,0.78,0.11,5.0,2.6,1
D_000280,53,Mumbai,Cab,3,15,10,0,0,0.67,0.0,4.7,4.0,0
D_000281,49,Hyderabad,Cab,4,15,11,0,0,0.73,0.0,5.0,2.0,0
D_000282,33,Hyderabad,Auto,13,21,16,2,2,0.76,0.1,4.6,5.5,0
D_000283,30,Hyderabad,Auto,10,20,14,0,0,0.7,0.0,4.9,4.0,0
D_000284,32,Chennai,Cab,14,13,4,0,0,0.31,0.0,4.2,1.0,0
D_000285,54,Chennai,Cab,10,19,15,1,0,0.79,0.0,4.1,2.0,0
D_000286,40,Delhi,Bike,3,14,10,2,1,0.71,0.07,4.6,5.0,0
D_000287,28,Mumbai,Bike,3,16,11,0,0,0.69,0.0,4.6,2.0,0
D_000288,52,Delhi,Cab,8,23,13,2,0,0.57,0.0,4.6,1.0,0
D_000289,23,Hyderabad,Cab,8,19,17,4,3,0.89,0.16,4.5,3.4,1
D_000290,40,Hyderabad,Bike,13,21,18,1,0,0.86,0.0,5.0,3.0,0
D_000291,53,Delhi,Auto,13,15,10,1,0,0.67,0.0,4.1,4.0,0
D_000292,31,Mumbai,Bike,6,20,17,3,2,0.85,0.1,4.2,5.5,0
D_000293,29,Mumbai,Bike,4,17,10,1,1,0.59,0.06,4.7,3.9,0
D_000294,47,Chennai,Bike,1,20,16,2,1,0.8,0.05,4.6,4.8,0
D_000295,51,Mumbai,Auto,4,23,18,3,1,0.78,0.04,5.0,4.6,0
D_000296,32,Bangalore,Cab,8,27,25,6,4,0.93,0.15,4.9,3.2,1
D_000297,41,Chennai,Bike,6,18,14,1,1,0.78,0.06,4.0,2.9,0
D_000298,41,Chennai,Bike,2,23,16,5,2,0.7,0.09,4.3,2.3,0
D_000299,30,Chennai,Auto,3,14,13,1,0,0.93,0.0,4.7,3.0,0
D_000300,29,Hyderabad,Bike,12,17,14,0,0,0.82,0.0,4.2,4.0,0
D_000301,36,Hyderabad,Auto,7,22,18,1,1,0.82,0.05,4.3,2.8,0
D_000302,45,Hyderabad,Cab,11,19,17,6,5,0.89,0.26,4.3,6.9,1
D_000303,54,Mumbai,Bike,11,25,22,1,0,0.88,0.0,5.0,2.0,0
D_000304,48,Chennai,Auto,4,23,19,2,0,0.83,0.0,4.8,4.0,0
D_000305,42,Chennai,Cab,4,15,14,1,0,0.93,0.0,4.1,2.0,0
D_000306,26,Mumbai,Auto,5,23,14,2,2,0.61,0.09,4.7,4.4,0
D_000307,42,Bangalore,Auto,8,25,20,1,1,0.8,0.04,4.8,4.6,0
